-0.2325,-2.8362,-19.191761837,-1.7865,0.0814,3.3696,2018-01-19 06:15:12.451Z,Ax = -0.0012	Ay = -0.0142	Az = -0.0960	ypr = (3.3696   0.0814   -1.7865)
-0.3404,-2.5644,-19.387631400,-3.2280,-0.1825,6.5419,2018-01-19 06:15:12.547Z,Ax = -0.0028	Ay = -0.0184	Az = -0.1449	ypr = (6.5419   -0.1825   -3.2280)
-0.4116,-2.3693,-19.501208853,-4.3223,-0.0546,9.4471,2018-01-19 06:15:12.644Z,Ax = -0.0053	Ay = -0.0413	Az = -0.3104	ypr = (9.4471   -0.0546   -4.3223)
-0.4142,-2.1612,-19.476589572,-5.1585,-0.1567,12.2385,2018-01-19 06:15:12.748Z,Ax = -0.0072	Ay = -0.0461	Az = -0.3746	ypr = (12.2385   -0.1567   -5.1585)
-0.6506,-1.9085,-19.317764776,-5.8990,0.1045,14.9293,2018-01-19 06:15:12.846Z,Ax = -0.0087	Ay = -0.0328	Az = -0.3107	ypr = (14.9293   0.1045   -5.8990)
-0.7081,-1.7962,-19.261268084,-6.7865,0.3557,17.3221,2018-01-19 06:15:12.946Z,Ax = -0.0093	Ay = -0.0242	Az = -0.2651	ypr = (17.3221   0.3557   -6.7865)
-0.8281,-1.6153,-19.479616553,-7.6026,0.3839,19.7527,2018-01-19 06:15:13.044Z,Ax = -0.0115	Ay = -0.0240	Az = -0.2797	ypr = (19.7527   0.3839   -7.6026)
-0.7786,-1.4937,-19.772804813,-8.4329,0.2118,21.8956,2018-01-19 06:15:13.146Z,Ax = -0.0119	Ay = -0.0229	Az = -0.2874	ypr = (21.8956   0.2118   -8.4329)
-0.6663,-1.3181,-19.445791566,-9.0652,0.1073,23.7269,2018-01-19 06:15:13.246Z,Ax = -0.0108	Ay = -0.0195	Az = -0.2788	ypr = (23.7269   0.1073   -9.0652)
-0.7588,-1.2507,-19.516001307,-9.5856,0.0016,25.6270,2018-01-19 06:15:13.346Z,Ax = -0.0104	Ay = -0.0176	Az = -0.2758	ypr = (25.6270   0.0016   -9.5856)
-0.6697,-1.1003,-19.694777685,-10.2341,-0.0574,27.3197,2018-01-19 06:15:13.444Z,Ax = -0.0096	Ay = -0.0162	Az = -0.2789	ypr = (27.3197   -0.0574   -10.2341)
-0.6465,-0.9788,-19.542905376,-10.6375,-0.1069,28.9206,2018-01-19 06:15:13.548Z,Ax = -0.0095	Ay = -0.0147	Az = -0.2790	ypr = (28.9206   -0.1069   -10.6375)
