-0.2396,-0.3681,-20.029878592,-14.4235,-1.1670,47.0177,2018-01-19 06:15:15.044Z,Ax = -0.0028	Ay = -0.0043	Az = -0.2861	ypr = (47.0177   -1.1670   -14.4235)
-0.5961,-0.1633,-19.686026859,-14.0558,-0.1865,47.4809,2018-01-19 06:15:15.146Z,Ax = -0.0054	Ay = -0.0036	Az = -0.2841	ypr = (47.4809   -0.1865   -14.0558)
-0.5983,-0.2869,-19.276536748,-13.7476,-0.0676,47.8622,2018-01-19 06:15:15.243Z,Ax = -0.0079	Ay = -0.0039	Az = -0.2775	ypr = (47.8622   -0.0676   -13.7476)
-0.2020,-0.1473,-19.725456970,-14.0823,-1.3850,47.8056,2018-01-19 06:15:15.345Z,Ax = -0.0067	Ay = -0.0024	Az = -0.2763	ypr = (47.8056   -1.3850   -14.0823)
-0.1186,-0.4491,-19.894899774,-13.4399,-1.9078,47.4012,2018-01-19 06:15:15.446Z,Ax = -0.0037	Ay = -0.0045	Az = -0.2788	ypr = (47.4012   -1.9078   -13.4399)
-0.3012,-0.5417,-19.165845426,-12.5656,-1.2736,47.3367,2018-01-19 06:15:15.549Z,Ax = -0.0022	Ay = -0.0064	Az = -0.2773	ypr = (47.3367   -1.2736   -12.5656)
-0.2385,-0.3158,-19.212784550,-11.8143,-0.4137,47.2149,2018-01-19 06:15:15.644Z,Ax = -0.0024	Ay = -0.0064	Az = -0.2753	ypr = (47.2149   -0.4137   -11.8143)
-0.1900,-0.1700,-19.458445891,-11.4332,-0.6394,47.3750,2018-01-19 06:15:15.744Z,Ax = -0.0035	Ay = -0.0045	Az = -0.2732	ypr = (47.3750   -0.6394   -11.4332)
-0.2168,-0.1204,-19.223986284,-11.4844,-0.6979,47.3810,2018-01-19 06:15:15.849Z,Ax = -0.0033	Ay = -0.0020	Az = -0.2727	ypr = (47.3810   -0.6979   -11.4844)
-0.0286,-0.1981,-19.827591851,-11.4609,-1.3261,46.5732,2018-01-19 06:15:15.945Z,Ax = -0.0013	Ay = -0.0015	Az = -0.2787	ypr = (46.5732   -1.3261   -11.4609)
-0.0360,-0.0868,-19.412918786,-11.0438,-1.0945,46.4083,2018-01-19 06:15:16.046Z,Ax = -0.0007	Ay = -0.0015	Az = -0.2777	ypr = (46.4083   -1.0945   -11.0438)
